uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Droits d'inscription;Fonds de roulement net global;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Taxe d'apprentissage;Valorisation;rce;vague;Etablissement;commune;academie;region;code de la commune;code de l'academie;code de la region;source;id - paysage;CAF / Acquisitions d'immobilisations;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges de personnel;Charges de personnel / Produits encaissables;Charges décaissables / Produits.encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Formation continue, diplômes propres et VAE;Recettes propres;Ressources propres encaissables;Résultat net comptable;Résultat net comptable hors SIE;Solde budgétaire;Subventions Union Européenne;Subventions de la région;Taux de rémunération des permanents;Trésorerie;Trésorerie en jours de charges décaissables
0511296G;2019;13937612.0;1038745.0;96901.0;5565346.0;5662764.0;-3198673.0;5.67192973324237;;;1608253.0;5159291.0;32735855.0;199435757.0;13.7847437257703;3484899.0;88861.0;2011;Vague C;Université REIMS - CHAMPAGNE ARDENNE;Reims;Reims;Grand Est;51454;A19;R44;Comptes financiers;57OsX;81.1606464579442;11311856.0;188123901.0;162987971.0;81.7245480207444;94.3280702667576;;62.6443941325669;5461764.0;36962485.0;27491708.0;6643575.0;6643575.0;6532525.0;4326518.0;4469143.0;83.594179900503;35934528.0;68.7654785555398
0542493S;2017;75774272.0;;;;;25494640.0;2.93700017947068;;;;;103992426.0;561400885.0;15.0569714545427;;;2012;Vague C;Université DE LORRAINE;Nancy;Nancy-Metz;Grand Est;54395;A12;R44;Comptes financiers;t6Cq5;21.7598197446226;16488345.0;544883059.0;465016575.0;82.83146454249;97.0577484928617;;68.7069872;;84529971.0;84529971.0;6791860.0;6791860.0;-30655082.0;;;85.1642957341824;78497786.0;51.862876801
0542493S;2021;37413655.0;8503079.0;13520618.0;23174254.0;27426740.0;64636814.0;5.46043220047604;;;671655.0;14488573.0;180032049.0;623598110.0;19.5695820822805;2449205.0;4693147.0;2012;Vague C;Université DE LORRAINE;Nancy;Nancy-Metz;Grand Est;54395;A12;R44;Comptes financiers;t6Cq5;91.012631618055;34051152.0;589450366.0;493160493.0;79.0830640907491;94.5240783362862;;109.952493676117;24774082.0;142745626.0;122035544.0;16754056.0;16754056.0;23334052.0;14254802.0;8789471.0;83.7184901139663;115395235.0;70.4763063969325
0561718N;2011;3075365.4;0.0;0.0;990791.76;2706376.25;463469.050000015;2.40087723382181;7728617.23;11.8407853083506;600753.25;814095.07;12090510.11;65271154.14;15.8325595374557;1858505.72;40.0;2010;Vague B;Université BRETAGNE-SUD;Lorient;Rennes;Bretagne;56121;A14;R53;Comptes financiers;5tVy4;50.9559052722646;1567080.28;63680385.58;53763261.65;82.3690991194721;97.5628306547362;3266381.43;68.3504598779788;1025200.82;10334094.34;10334094.34;1333828.86;;;973721.26;1058451.83;81.4680242974599;11627041.06;65.7303617664433
0561718N;2013;6472170.36;690052.64;54682.61;3275280.61;1975960.35;1519949.62;4.835838862;8858474.62;12.18626462;888036.19;872063.54;14672396.36;72692288.36;19.44617133;2763129.04;;2010;Vague B;Université BRETAGNE-SUD;Lorient;Rennes;Bretagne;56121;A14;R53;Comptes financiers;5tVy4;54.31380409;3515281.93;69165643.1;57121281.97;78.57956223;95.14852904;3949827.4;76.36830156;1324953.56;14135866.94;14135866.94;2933694.61;;;492685.43;1141260.12;82.5024956358354;13152446.74;68.4571214
0561718N;2019;7582034.0;692073.0;61585.0;6013412.0;3003903.0;-227969.0;4.92978665184843;;;892038.0;1284690.0;10859819.0;87040501.0;26.2119194373663;7098527.0;712772.0;2010;Vague B;Université BRETAGNE-SUD;Lorient;Rennes;Bretagne;56121;A14;R53;Comptes financiers;5tVy4;56.5931384639003;4290911.0;82749591.0;65207745.0;74.9165552252508;95.070214497042;;47.2453675329948;2490068.0;25874330.0;22814986.0;3004411.0;3211761.0;303929.0;1228831.0;2396431.0;82.3906309351887;11087788.0;48.2371408941465
0561718N;2020;7726650.0;949315.0;79992.0;3046230.0;3113665.0;1219556.0;5.75281689069989;;;1074644.0;1458359.0;10798801.0;82335108.0;20.5708918241778;628760.0;521926.0;2010;Vague B;Université BRETAGNE-SUD;Lorient;Rennes;Bretagne;56121;A14;R53;Comptes financiers;5tVy4;61.3019613933593;4736588.0;77598520.0;67052375.0;81.4383762027737;94.2471831093001;;50.0984858989579;2714178.0;17379598.0;16937066.0;2864122.0;2864122.0;-1946924.0;1693123.0;2099406.0;82.6484766127563;9579245.0;44.4406439710448
0561718N;2021;5642436.0;1040107.0;308835.0;3770430.0;5881526.0;162439.0;6.30084034811367;;;997449.0;1406503.0;13746878.0;87686875.0;22.7898291505998;627018.0;631212.0;2010;Vague B;Université BRETAGNE-SUD;Lorient;Rennes;Bretagne;56121;A14;R53;Comptes financiers;5tVy4;97.9188775911681;5525010.0;82161865.0;70374192.0;80.2562435940385;93.6991596518863;;60.2332490870308;5505638.0;23342680.0;19983689.0;3337453.0;3337453.0;4209052.0;1583066.0;1590896.0;81.8222430301091;13584439.0;59.5215072101881
0570140T;2014;718352.6;0.0;0.0;413723.04;;-653075.41;11.37978919;3069479.05;54.08423562;;;3798674.88;5675367.35;60.34198562;252813.6;;;Vague C;ENI METZ;Metz;Nancy-Metz;Grand Est;57463;A12;R44;Comptes financiers;fiHKV;89.90638302;645844.84;4940553.63;1685046.98;29.69053589;87.05257872;958634.49;276.7954888;132040.0;3424629.35;3424629.35;266209.22;;;;;;4451750.29;324.3826956
0590311T;2011;764256.1;0.0;0.0;56372.25;62380.77;;-0.129531630890768;1415286.75;56.4312959326211;493763.05;135716.7;1549896.94;2507982.01;38.1525866686739;130987.97;;;Vague E;ENS CHIMIE LILLE;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;67su6;-0.42507086302616;;2511230.64;880333.84;35.1012820861502;100.129531630891;223572.41;222.187038304057;;956860.01;956860.01;;;;2673.4;;;1945885.93;278.954439166926
0590311T;2014;727978.79;0.0;399879.66;70391.41;343678.5;-50890.5;28.86439961;1468796.51;40.80126933;499618.49;96863.01;1534879.98;3599879.45;49.34219256;118598.95;;;Vague E;ENS CHIMIE LILLE;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;67su6;142.7354209;1039083.59;2342767.09;773528.16;21.48761287;65.07904286;1354822.52;235.8564772;;1776259.45;1776259.45;396513.24;;;112395.06;78793.62;;1585770.48;243.6765376
0590311T;2017;962417.0;;;;;351358.0;37.6300128866601;;;;;2072271.0;3522247.0;51.411669880051;;;;Vague E;ENS CHIMIE LILLE;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;67su6;137.718057764981;1325422.0;2197543.0;635831.0;18.0518572377235;62.3903718279837;;339.47802614;;1810846.0;1810846.0;639490.0;639490.0;-40560.0;;;;1720913.0;281.91879749
0590311T;2019;773135.0;164158.0;0.0;488486.0;334427.0;-108827.0;13.1696296291364;;;485670.0;119749.0;2282705.0;3003638.0;44.0462532435666;81633.0;0.0;;Vague E;ENS CHIMIE LILLE;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;67su6;51.1641563245746;395568.0;2608069.0;669897.0;22.302854072295;86.8303370779035;;315.088979624389;5400.0;1680822.0;1322990.0;-400404.0;-400404.0;259278.0;0.0;1299.0;;2391532.0;330.110714095371
0590338X;2018;452179.0;231006.0;0.0;108704.0;182523.0;-1775264.0;12.6429747465772;;;234375.0;108966.0;1136861.0;3578604.0;68.5518151770914;595182.0;0.0;;Vague E;ENSAIT ROUBAIX;Roubaix;Lille;Hauts-de-France;59512;A09;R32;Comptes financiers;T6qPJ;100.058162807207;452442.0;3126161.0;1600680.0;44.7291737224907;87.3569973095654;;130.917748638026;39118.0;1629876.0;2453198.0;74640.0;74640.0;-961157.0;26289.0;103713.0;;2912125.0;335.352209946961
0590338X;2021;745100.0;454156.0;;100959.0;279173.0;-494933.0;13.0348742182836;;;290605.0;102344.0;1676110.0;3196172.0;63.9305394077665;667160.0;;;Vague E;ENSAIT ROUBAIX;Roubaix;Lille;Hauts-de-France;59512;A09;R32;Comptes financiers;T6qPJ;55.9142396993692;416617.0;2779555.0;1175967.0;36.7929823551423;86.9651257817164;;217.084965039368;127301.0;2931273.0;2043330.0;11202.0;11202.0;518469.0;831776.0;77799.0;;2171043.0;281.187269185175
0590349J;2012;1364723.65;0.0;0.0;408144.6;532836.03;;7.6579702647572;3972285.19;17.6252921378216;1459719.86;1057183.73;6104267.66;22537414.75;24.4745226601467;720280.44;;2012;Vague E;Ecole centrale de Lille;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;54VTe;126.465788146927;1725908.52;20730061.74;16584425.83;73.5861943970304;91.9806551459057;1949440.76;106.007226855466;418769.35;5515924.68000001;5515924.68000001;1074170.08;;;488448.04;401193.65;78.4563414471528;6535175.39;113.490406825966
0590349J;2014;1016577.42;0.0;0.0;449302.86;913400.28;497662.49;5.838030456;4482851.89;18.85998549;1582978.76;1168255.82;7888935.34;23769116.32;25.91577902;732131.7;;2012;Vague E;Ecole centrale de Lille;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;54VTe;136.5019744;1387648.25;22204132.79;17511600.93;73.67375671;93.41589519;1735973.63;127.9048702;540493.31;6159951.66;6159951.66;701482.22;;;237000.09;219939.13;77.8920292693325;7391272.85;119.8361697
0590349J;2016;2064211.0;;;;;-1715517.0;8.20125655615875;;;;;3848483.0;23105374.0;22.8058372913591;;;2012;Vague E;Ecole centrale de Lille;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;54VTe;91.7992879603878;1894931.0;21216557.0;17552040.0;75.9651845497069;91.8252048203158;;65.300598961462;;5269374.0;5269374.0;920289.0;955081.0;1726396.0;;;78.5571370325275;5564000.0;94.4092861061293
0590349J;2018;2449411.0;199469.0;196094.0;690009.0;234239.0;-968181.0;8.42818295602184;;;3309994.0;530428.0;6199111.0;26265875.0;23.9985494486668;876982.0;0.0;2012;Vague E;Ecole centrale de Lille;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;54VTe;90.3782991094594;2213736.0;22484092.0;18314438.0;69.727119313558;85.6019150323376;;99.2559521638677;473523.0;6528929.0;6303429.0;1008408.0;1012502.0;984915.0;189977.0;53714.0;78.5042600545307;7167292.0;114.757808320656
0590349J;2019;2216401.0;381564.0;31600.0;354631.0;567747.0;-216902.0;6.95897808302968;;;2390966.0;1817740.0;6839528.0;26073038.0;29.1881674855074;1196885.0;0.0;2012;Vague E;Ecole centrale de Lille;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;54VTe;81.863209771156;1814417.0;24252092.0;18813797.0;72.1580546156532;93.0159807230749;;101.52650253842;572638.0;8046693.0;7610242.0;367259.0;367259.0;354205.0;322638.0;410284.0;79.1087267601041;7056430.0;104.746213233893
0593279U;2012;6562701.4;0.0;0.0;3995239.07;5325741.6;;2.83026483427558;11263061.36;11.4658812508927;623629.61;1353789.07;15573321.29;98231100.72;19.3256249607868;804736.0;4188.82;2010;Vague E;Université VALENCIENNES - HAINAUT-CAMBRÉSIS;Aulnoy-lez-Valenciennes;Lille;Hauts-de-France;59032;A09;R32;Comptes financiers;SuUZ2;42.3636568319257;2780200.29999998;95432588.38;78734952.69;80.1527745417694;97.1510933711545;5288867.51999998;58.7471822735862;2132248.83;18983774.12;18983774.12;996075.659999982;;;817947.33;3104663.59;87.3512666053117;18187863.5;68.6100101773221
0593279U;2014;4267110.4;290980.09;0.0;3868776.53;5372739.97;142989.12;2.907902415;10135183.15;10.09333977;569708.54;1320406.09;19464219.77;100414564.3;18.87115919;692306.66;86128.32;2010;Vague E;Université VALENCIENNES - HAINAUT-CAMBRÉSIS;Aulnoy-lez-Valenciennes;Lille;Hauts-de-France;59032;A09;R32;Comptes financiers;SuUZ2;68.42938819;2919957.54;97335528.91;82126612.96;81.78755099;96.93367651;5072715.94;71.98932595;2196744.05;18949392.28;18949392.28;341416.62;;;1210164.51;2481877.54;88.4736359525637;19321230.65;71.46047401
0593279U;2016;4734027.0;;;;;-2398864.0;4.44637440729986;;;;;25813648.0;98610994.0;16.6085720624619;;;2010;Vague E;Université VALENCIENNES - HAINAUT-CAMBRÉSIS;Aulnoy-lez-Valenciennes;Lille;Hauts-de-France;59032;A09;R32;Comptes financiers;SuUZ2;92.6191168744918;4384614.0;94226380.0;82396462.0;83.5570747821485;95.5536255927001;;98.6232653743039;;16377878.0;16377878.0;2172424.0;2172424.0;2889997.0;;;88.7895131275396;28212512.0;107.788331887524
0593559Y;2014;7090406.17;1571132.32;872517.11;11728333.59;2603382.07;-1304041.05;0.876080655;34194396.73;14.09025187;11276798.27;2467974.31;15924244.44;242681231.3;21.08563954;4315685.44;150530.6;2011;;Université LILLE 1 - SCIENCES TECHNOLOGIES;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;qPCgk;29.98535301;2126083.32;236722288.6;193714768.4;79.82272355;97.54453912;6339736.5;24.2171028;6215532.35;51170889.66;51170889.66;;;;2768760.15;5551100.57;83.6875057514971;17228285.49;26.20024845
0593560Z;2011;8514030.8;0.0;0.0;2539031.75;5215608.14;;4.70511228374858;20630249.55;13.850217805998;1235330.79;4567178.47;;148952527.96;15.8778637555928;1001830.79;48049.25;2010;;Université LILLE 2 - DROIT ET SANTÉ;Lille;Lille;Hauts-de-France;59350;A09;R32;Comptes financiers;j5sy1;82.315695757173;7008383.69;141971302.32;119013806.76;79.900494734779;95.3131204044588;8518751.78;;4791830.98;23650479.45;23650479.45;4175222.42;;;1090867.67;1985153.36;78.207416376954;;
0593560Z;2015;8381487.0;;;;;-10650754.0;;;;;;36468029.0;151816941.0;16.6884695694139;;;2010;;Université LILLE 2 - DROIT ET SANTÉ;Lille;Lille;Hauts-de-France;59350;A09;R32;Comptes financiers;j5sy1;;;155882850.0;130865159.0;86.1993122361753;102.678165541486;;84.0;;;25335924.0;;;;;;80.9435666602133;47118783.0;109.0
0593560Z;2016;18012862.0;;;;;-10148465.0;2.90632176638095;;;;;25651342.0;165205314.0;16.6724104286379;;;2010;;Université LILLE 2 - DROIT ET SANTÉ;Lille;Lille;Hauts-de-France;59350;A09;R32;Comptes financiers;j5sy1;26.655386578768;4801398.0;161849943.0;134515943.0;81.4234964621053;97.9689690853407;;57.0558317712846;;27543708.0;27543708.0;744726.0;599748.0;;;;81.5017355562148;35799807.0;79.628885133435
0593561A;2013;3917911.62;434580.8;81125.69;2646543.09;1561856.76;;3.270745365;10384632.12;9.655268172;200506.21;2432842.7;15779243.78;107554051.7;11.14189632;192122.52;256291.3;2012;;Université LILLE 3 - CHARLES-DE-GAULLE;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;QhvwL;89.78811931;3517819.16;104038029.8;91135919.76;84.73499448;96.73092567;5046159.54;54.60049341;1203721.75;11983560.93;11983560.93;2695909.77;;;970037.77;1674208.85;83.6816809899516;24116141.11;83.44843531
0593561A;2017;4319043.0;;;;;-10522828.0;3.35609998219183;;;;;17621632.0;114419416.0;10.2068411186437;;;2012;;Université LILLE 3 - CHARLES-DE-GAULLE;Villeneuve-d'Ascq;Lille;Hauts-de-France;59009;A09;R32;Comptes financiers;QhvwL;88.9092792083802;3840030.0;110579386.0;97604280.0;85.3039487633812;96.6439000178082;;57.368626735;;11678608.0;11678608.0;2183385.0;2183385.0;-2706666.0;;;82.0282838275581;28144460.0;91.626531549
0595876S;2011;27497.42;0.0;0.0;157563.9;343448.0;;2.81301686715367;1636303.56;38.9457302604503;;1837322.23;3740061.23;4201496.67;64.8051845296357;62295.11;;;Vague E;Institut d'études politiques LILLE;Lille;Lille;Hauts-de-France;59350;A09;R32;Comptes financiers;F77ic;429.817815635066;118188.81;4083279.92;2091620.78;49.7827546772755;97.1863181317243;703916.13;329.740323754243;;2722787.67;2722787.67;61841.2599999997;;;;84000.0;;4616987.67;407.054033464353
0595876S;2013;147352.83;0.0;0.0;171294.26;350301.74;;11.33428026;1783396.58;36.78719829;;2372001.18;3753542.91;4847872.8;69.45959473;61887.0;;;Vague E;Institut d'études politiques LILLE;Lille;Lille;Hauts-de-France;59350;A09;R32;Comptes financiers;F77ic;372.8951049;549471.49;4298401.31;2149188.89;44.33261718;88.66571974;1135816.1;314.3669821;;3367312.8;3367312.8;479528.26;;;;174241.42;;5391980.44;451.589514
0595964M;2014;1826942.2;347567.9;0.0;7398831.68;1349533.02;-2433801.53;3.476163392;8743616.26;10.26768214;476835.74;1090307.68;6499736.55;85156670.61;21.30528172;1278437.55;3239.0;2010;Vague E;Université LITTORAL - CÔTE D'OPALE;Dunkerque;Lille;Hauts-de-France;59183;A09;R32;Comptes financiers;yH19Y;162.0294835;2960185.01;82191748.67;65085842.73;76.43070386;96.518274;4447682.01;28.46885723;3039648.14;18142868.58;18142868.58;965966.68;;;855051.61;2128113.49;85.7497014277997;8933538.08;39.1289121
0595964M;2015;2482332.0;;98648.0;7795445.8;1801289.86;-5811745.0;3.72230564809283;8591058.56;10.08220495;452202.8;1026804.89;6653488.0;85195395.0;20.655449745846;924353.19;1714.0;2010;Vague E;Université LITTORAL - CÔTE D'OPALE;Dunkerque;Lille;Hauts-de-France;59183;A09;R32;Comptes financiers;yH19Y;127.752170136791;3171233.0;82031342.0;64772036.0;76.0276256715518;96.2861220374646;4588166.38;29.0;2417826.96;17612213.1;17597492.0;1619227.0;;;498677.16;2285820.5;86.7243795662148;12465233.0;55.0
0597065J;2019;17151735.0;5319576.0;2771691.0;16592516.0;28297051.0;-24678189.0;2.47508633853473;;;4226181.0;9983923.0;47140035.0;536790729.0;16.3977699771339;2596284.0;349078.0;2018;Vague E;Université de Lille;Lille;Lille;Hauts-de-France;59350;A09;R32;Comptes financiers;Szqy5;77.4617494964795;13286034.0;523574325.0;447088288.0;83.2891225287909;97.5378851969703;;32.4126141976118;16103522.0;114448862.0;88021709.0;1391186.0;1471259.0;19519753.0;16825929.0;11383111.0;83.0092279279479;71818224.0;49.3808794768536
0597131F;2021;366610.0;0.0;0.0;289877.0;3505007.0;21754.0;12.277427277015;;;0.0;821251.0;4145014.0;15827355.0;43.3940162459236;314609.0;0.0;;Vague E;INSA Hauts-de-France;Aulnoy-lez-Valenciennes;Lille;Hauts-de-France;59032;A09;R32;Comptes financiers;J3Mu2;530.043370339052;1943192.0;13885264.0;10995881.0;69.4739013562279;87.729529033752;;107.466810857899;431430.0;5362174.0;6868125.0;1303129.0;1303129.0;412748.0;0.0;0.0;79.0291621045587;4123260.0;106.902799975571
0601223D;2013;11749761.21;75362.0;473904.35;3983488.57;861128.81;3187779.31;4.191163007;10960617.32;17.75725472;4105591.35;1453624.27;15034276.57;61724728.81;26.94399008;2271038.25;3800.0;2010;Vague E;Université de technologie COMPIÈGNE;Compiègne;Amiens;Hauts-de-France;60159;A20;R32;Comptes financiers;H3nOd;22.01733255;2586984.0;58578278.05;45432429.03;73.60490667;94.90244701;4101577.32;92.39499257;1478635.71;16631104.81;16631104.81;2623509.05;;;42209.62;841464.73;68.1688407688237;11846497.26;72.80410342
0601223D;2017;4848285.0;;;;;4451878.0;6.23417867641199;;;;;20569810.0;64450992.0;26.6978202600823;;;2010;Vague E;Université de technologie COMPIÈGNE;Compiègne;Amiens;Hauts-de-France;60159;A20;R32;Comptes financiers;H3nOd;82.8744597316371;4017990.0;60440471.0;47478846.0;73.666586854086;93.7774099737674;;122.51942246;;17207010.0;17207010.0;2296838.0;2296838.0;3429598.0;;;74.3663225079548;16117932.0;96.002817715
0601223D;2019;4843435.0;593931.0;2235175.0;3698069.0;2189894.0;2049224.0;6.44461896503581;;;74050.0;2645236.0;25973277.0;61902915.0;22.6339874301558;1834998.0;50440.0;2010;Vague E;Université de technologie COMPIÈGNE;Compiègne;Amiens;Hauts-de-France;60159;A20;R32;Comptes financiers;H3nOd;82.3673074997393;3989407.0;57913507.0;46073488.0;74.4286242416856;93.5553794195314;;161.454213435909;600090.0;19230473.0;14011098.0;2985257.0;2985257.0;4438551.0;459732.0;4848858.0;78.4940522879073;23924053.0;148.715895930806
0601223D;2020;6697903.0;349613.0;1310141.0;2288411.0;1817773.0;-1519398.0;5.14444215287084;;;71290.0;2625798.0;25188339.0;59507871.0;19.0065512510101;1349505.0;70593.0;2010;Vague E;Université de technologie COMPIÈGNE;Compiègne;Amiens;Hauts-de-France;60159;A20;R32;Comptes financiers;H3nOd;45.7060665106676;3061348.0;56446973.0;45973519.0;77.2561985959807;94.8563140496154;;160.642839785226;1430318.0;13999168.0;11310394.0;2398699.0;2398699.0;1570158.0;85728.0;2599998.0;80.5906812244319;26707737.0;170.333054351736
0623957P;2010;6683741.79;0.0;0.0;1463625.07;1986096.64;345191.740000002;19.1318394570922;14832267.15;46.757179456082;754515.4;1241101.06;33958425.41;31721903.08;31.8782632760002;833778.93;97591.43;;;Université ARTOIS;;;;;;;Comptes financiers;BWbvP;90.802184774406;6068983.56999999;25656833.17;9360348.31;29.507524458397;80.88049794899;6976112.19999999;476.482544303031;3111324.89;10112391.78;10112391.78;4074979.50999999;;;19921.73;401131.35;;33613233.67;471.639038264051
0623957P;2012;3508256.21;0.0;0.0;1948152.0;2116319.38;;7.9673728326736;12870666.58;11.446215479593;335654.11;1046883.12;40467505.46;112444734.27;9.45194788266363;880161.31;41184.12;2011;Vague E;Université ARTOIS;Arras;Lille;Hauts-de-France;62041;A09;R32;Comptes financiers;BWbvP;255.365933208168;8958891.21000001;103445307.05;89478081.02;79.5751633910638;91.9965774489797;9307404.46000001;140.830960640471;2952327.93;10628217.68;10628217.68;6607479.67000001;;;270917.97;423212.86;88.0589552980873;43528415.35;151.48323276208
0623957P;2019;3645442.0;264451.0;42569.0;1331940.0;4286390.0;-4672369.0;6.4881465361519;;;0.0;1299680.0;23789716.0;97432448.0;12.8160743739088;201732.0;700663.0;2011;Vague E;Université ARTOIS;Arras;Lille;Hauts-de-France;62041;A09;R32;Comptes financiers;BWbvP;173.40997333108;6321560.0;91099105.0;76911901.0;78.9386929906554;93.4997599567651;;94.0107782617623;3109854.0;13689299.0;12487015.0;3843560.0;3843560.0;3146644.0;688672.0;1763348.0;87.7993734580171;28462085.0;112.474766903583
0623957P;2020;4813398.0;493253.0;17064.0;1334203.0;3369119.0;-3943601.0;6.80544613386675;;;0.0;1381464.0;26408452.0;98595373.0;13.0765294635074;133024.0;432684.0;2011;Vague E;Université ARTOIS;Arras;Lille;Hauts-de-France;62041;A09;R32;Comptes financiers;BWbvP;139.399546848193;6709855.0;91873064.0;78499471.0;79.6178041742385;93.1819224417357;;103.480196545965;2709715.0;10910225.0;12892853.0;3682182.0;3682182.0;274816.0;335509.0;704190.0;87.2934413433537;30352053.0;118.932999556867
0630095L;2013;385970.64;0.0;0.0;95787.8;45366.77;;30.49726365;758408.89;41.86982426;202349.07;125499.0;1425615.78;1811349.59;42.48735828;100387.59;;;;ENS CHIMIE CLERMONT-FERRAND;Aubière;Clermont-Ferrand;Auvergne-Rhône-Alpes;63014;A06;R84;Comptes financiers;UedNx;143.1228189;552412.06;1258937.53;376871.55;20.80611893;69.50273635;689801.84;407.6625476;12987.3;769594.59;769594.59;278976.88;;;47913.06;80000.0;;1788699.83;511.4883967
0631262E;2015;17058354.0;442837.94;0.0;6080131.58;1858818.09;-15067203.0;7.61492404652954;20153234.04;17.81168585;994373.3;1991912.1;32312732.0;112402303.0;16.4198334975396;633210.09;52147.81;2009;;Université CLERMONT-FERRAND 1 - AUVERGNE;Clermont-Ferrand;Clermont-Ferrand;Auvergne-Rhône-Alpes;63113;A06;R84;Comptes financiers;3itX6;50.1768810753957;8559350.0;104110187.0;80553652.0;71.6654818006709;92.622823751218;7908901.11;112.0;5053344.92;19810702.58;18456271.0;7096394.0;;;688020.04;958989.85;80.9070746460079;47379935.0;164.0
0631525R;2014;3992587.05;2469358.15;2138848.13;3315199.88;1418472.2;-4309892.28;1.456871527;16615474.87;10.63630774;2302761.22;1612234.1;2359139.39;156214687.2;14.1302589;762884.23;103980.26;2010;;Université CLERMONT-FERRAND 2 - BLAISE PASCAL;Clermont-Ferrand;Clermont-Ferrand;Auvergne-Rhône-Alpes;63113;A06;R84;Comptes financiers;n1E6T;57.00182041;2275847.3;153937855.0;132837903.4;85.03547631;98.54249799;6515646.64;5.517097664;2026214.09;22073539.74;22073539.74;;;;2013626.39;1718086.69;84.6838684035579;6669031.67;15.59623785
0631525R;2016;23877675.0;;;;;-6099233.0;2.91971322413043;;;;;7402231.0;157227873.0;14.1103530669781;;;2010;;Université CLERMONT-FERRAND 2 - BLAISE PASCAL;Clermont-Ferrand;Clermont-Ferrand;Auvergne-Rhône-Alpes;63113;A06;R84;Comptes financiers;n1E6T;19.22550248;4590603.0;152721470.0;128654291.0;81.8266434221876;97.1338396214264;;17.448778878307;;22185408.0;22185408.0;2325366.0;2325366.0;1360317.0;;;87.9076072115697;13501464.0;31.8260886304984
0631833A;2011;778208.57;0.0;0.0;1100553.1;248418.0;138544.44;22.8772739498358;1496669.11;34.9499402587013;;;3740650.65;4282322.37;44.6435182786111;225178.22;;2012;;IFMA CLERMONT FERRAND;Aubière;Clermont-Ferrand;Auvergne-Rhône-Alpes;63014;A06;R84;Comptes financiers;gMz48;125.888952880588;979678.62;3302643.75;1648816.15;38.5028497982977;77.1227260501642;1041280.86;407.744321197223;;1911779.37;1911779.37;526268.0;;;;;;3602106.21;392.642480921534
0631833A;2013;;;;;;;;;;;;3361932.0;;;;;2012;;IFMA CLERMONT FERRAND;Aubière;Clermont-Ferrand;Auvergne-Rhône-Alpes;63014;A06;R84;Comptes financiers;gMz48;;1040583.0;9545895.0;;;;;127.0;;;;613761.0;;;;;77.269673030444;3804313.0;143.4703
0632033T;2017;3535061.0;;;;;-1628185.0;10.2399629803899;;;;;4238675.0;16704660.0;22.7742498201101;;;2016;Vague A;INP Clermont Auvergne;Aubière;Clermont-Ferrand;Auvergne-Rhône-Alpes;63014;A06;R84;Comptes financiers;S8ntZ;48.3881607700688;1710551.0;14993968.0;12456234.0;74.5674201091193;89.7591929437654;;101.76912476;;3804361.0;3804361.0;874328.0;874328.0;-2429980.0;;;83.2789431178469;5866860.0;140.86128502
0650048Z;2012;4133383.21;0.0;0.0;94093.26;12533.8;555538.560000002;6.28986344678383;2380053.56;15.2844906684877;371199.27;535979.73;3249033.53000002;15571690.36;18.2248446019061;72801.63;31077.5;2011;Vague A;ENI TARBES;Tarbes;Toulouse;Occitanie;65440;A16;R76;Comptes financiers;MHneW;23.6957961611307;979438.060000001;14571352.62;11822711.08;75.9243910370178;93.5759206812278;1383141.39;80.2706585519448;440509.98;2837916.37;2837916.37;910375.970000001;;;;;80.7798243735788;2693494.97;66.5455167057785
0650048Z;2014;1311349.54;21363.6;12137.69;645179.39;233474.71;-1314084.08;2.20460487;2734665.78;17.71862296;626940.7;438550.63;3564752.61;15433850.51;16.21140822;295308.18;;2011;Vague A;ENI TARBES;Tarbes;Toulouse;Occitanie;65440;A16;R76;Comptes financiers;MHneW;25.94696605;340255.42;15071804.22;12078125.48;78.25736988;97.65420632;724443.52;85.14647091;20212.5;2502044.51;2502044.51;218399.01;;;170467.48;27529.63;83.9331491563962;4878836.69;116.5342372
