uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Droits d'inscription;Fonds de roulement net global;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Taxe d'apprentissage;Valorisation;rce;vague;Etablissement;commune;academie;region;code de la commune;code de l'academie;code de la region;source;id - paysage;CAF / Acquisitions d'immobilisations;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges de personnel;Charges de personnel / Produits encaissables;Charges décaissables / Produits.encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Formation continue, diplômes propres et VAE;Recettes propres;Ressources propres encaissables;Résultat net comptable;Résultat net comptable hors SIE;Solde budgétaire;Subventions Union Européenne;Subventions de la région;Taux de rémunération des permanents;Trésorerie;Trésorerie en jours de charges décaissables
0922605G;2018;310446.0;;;1553536.0;;-237768.0;25.6698176938034;;;;;1928184.0;2432117.0;72.0988340610259;;;;;INS-HEA;Suresnes;Versailles;Île-de-France;92073;A25;R11;Comptes financiers;a2a9U;201.104217802774;624320.0;1807797.0;126389.0;5.19666611433578;74.3301823061966;;383.973554552862;;1553536.0;1753528.0;495942.0;495942.0;149450.0;;;;2165952.0;431.322056624721
0922605G;2021;99920.0;;;858776.0;;123926.0;2.89345255981184;;;;;2593480.0;1544176.0;66.17814290599;;;;;INS-HEA;Suresnes;Versailles;Île-de-France;92073;A25;R11;Comptes financiers;a2a9U;44.7157726180945;44680.0;1499496.0;224863.0;14.5620058853395;97.1065474401882;;622.644408521263;;858776.0;1021907.0;-133115.0;-133115.0;-159660.0;;;;2469554.0;592.892171769715
0930603A;2010;677318.11;0.0;0.0;106438.41;196298.14;;17.2536767489475;2187681.5;44.5909337616165;1054536.33;280587.76;1389332.46;4906112.78;44.8129889912559;212887.23;;;;SUPMÉCA PARIS;;;;;;;Comptes financiers;OYA17;124.975964395814;846484.84;4060307.44;1700525.49;34.6613615759563;82.7601733199456;972101.2;123.182712883436;127205.31;2198575.78;2198575.78;806484.84;;;64489.85;;;1705520.05;151.216928046217
0930603A;2018;1748254.0;0.0;0.0;297507.0;20000.0;-177091.0;17.6047843786786;;;673141.0;166470.0;965928.0;3925609.0;48.3172165134123;162705.0;0.0;;Vague E;SUPMÉCA PARIS;Saint-Ouen-sur-Seine;Créteil;Île-de-France;93070;A24;R11;Comptes financiers;OYA17;39.530583084609;691095.0;3234514.0;1546751.0;39.4015552746083;82.3952156213214;;107.507365867021;340319.0;2014664.0;1896745.0;155892.0;155892.0;-456203.0;259511.0;95011.0;;1143019.0;127.217517067479
0930603A;2019;949646.0;28355.0;0.0;952966.0;0.0;-453503.0;14.9459290743101;;;364366.0;181070.0;671014.0;3951939.0;47.0838745233669;181615.0;0.0;;Vague E;SUPMÉCA PARIS;Saint-Ouen-sur-Seine;Créteil;Île-de-France;93070;A24;R11;Comptes financiers;OYA17;62.1972819345314;590654.0;2559896.0;1541071.0;38.9953134398077;64.7756961835696;;94.3651773353292;52355.0;2220393.0;1860726.0;55549.0;55549.0;-13005.0;143533.0;316133.0;;1124517.0;158.141627628622
0930603A;2021;566418.0;40000.0;0.0;613923.0;0.0;-2128207.0;21.3634907130674;;;551390.0;152574.0;1789713.0;4216193.0;46.218946808175;176772.0;0.0;;Vague E;SUPMÉCA PARIS;Saint-Ouen-sur-Seine;Créteil;Île-de-France;93070;A24;R11;Comptes financiers;OYA17;159.021429403727;900726.0;3315467.0;1611901.0;38.2311957730588;78.6365092869325;;194.330596564526;226600.0;2036805.0;1948680.0;386167.0;386167.0;524308.0;272816.0;2730.0;;3917920.0;425.415544778458
0931238R;2010;20935874.41;0.0;0.0;669354.47;4299193.03;15591520.48;-0.0714729903579713;24631817.28;15.8084644093991;2574550.18;;40837093.7099999;155814104.66;14.5474016678151;929163.64;4579.5;;;Université PARIS 13 - PARIS NORD;;;;;;;Comptes financiers;cqyN7;-0.531933836720035;;155925469.66;127193188.17;81.6313699247874;100.071472990358;2380021.87;94.2844922491284;3835531.91;22666903.66;22666903.66;;;;316550.81;1923743.23;;25245573.23;58.2868621952369
0931238R;2022;17648177.0;1671979.0;5043092.0;14895267.0;10507200.0;-21051101.0;1.03869115746096;;;810865.0;3841509.0;10015719.0;193410523.0;18.5525784447623;485000.0;0.0;2010;Vague D;Université PARIS 13 - PARIS NORD;Villetaneuse;Créteil;Île-de-France;93079;A24;R11;Budget;cqyN7;11.3832607186567;2008938.0;191404114.0;157256986.0;81.307357821477;98.9626164239264;;18.8379380393046;3317595.0;43976256.0;35882639.0;-793670.0;-793670.0;-7330650.0;1354276.0;2049473.0;;31066820.0;58.4316343378074
0931827F;2010;3475725.41;0.0;0.0;3662455.35;1756197.8;443236.58;15.5791251761117;11974755.69;34.8860509852217;301002.13;3310875.28;17377801.38;34325340.22;41.6096195360595;456250.81;53811.22;;;Université PARIS 8 - VINCENNES SAINT-DENIS;;;;;;;Comptes financiers;Uxr7Z;153.855298943192;5347587.72;28977752.5;15684642.74;45.6940634512959;84.4208748238884;6489927.39;215.890052094275;3313293.64;14282643.47;14282643.47;4778870.49;;;291939.88;930340.2;;16934564.8;210.383580576168
0931827F;2020;17307947.0;341635.0;1509717.0;5168104.0;8177939.0;-17681829.0;4.74015271930724;;;31000.0;6221065.0;27249054.0;142912906.0;12.0885072479038;1455596.0;0.0;2012;Vague E;Université PARIS 8 - VINCENNES SAINT-DENIS;Saint-Denis;Créteil;Île-de-France;93066;A24;R11;Comptes financiers;Uxr7Z;39.1397662588174;6774290.0;136138616.0;118441707.0;82.8768445867303;95.2598472806928;;72.0564063909684;2771359.0;27786017.0;17276037.0;5426771.0;5426771.0;13385136.0;1881928.0;227674.0;83.0649544308938;44930883.0;118.813591288456
