Année;Organisme;Libellé organisme;Statut regroupé;Statut/Nature de contrat;Type d'emploi;Effectif au 31/12 (en ETPT);Libellé actuel de l'organisme;ROR;UAI;Paysage;Wikidata;SIREN
2017;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;Apprentis;Emplois sous plafond;19.6684930623;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2017;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;CDD chercheurs;Emplois sous plafond;63.3441093583;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2017;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;CDD doctorants, contrats doctoraux;Emplois hors plafond;315.054792201;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2017;INRIA;Institut national de recherche en informatique et en automatique;Permanents;CDI;Emplois sous plafond;20.2863013446;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2017;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;Contrat unique d'insertion - contrat d'accompagnement dans l'emploi (CUI-CAE);Emplois sous plafond;0.0;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2017;INSERM;Institut national de la santé et de la recherche médicale;Non permanents;Apprentis;Emplois hors plafond;10.0;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2017;INSERM;Institut national de la santé et de la recherche médicale;Non permanents;CDD chercheurs;Emplois sous plafond;122.6;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2017;INSERM;Institut national de la santé et de la recherche médicale;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois sous plafond;35.8;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2017;INSERM;Institut national de la santé et de la recherche médicale;Non permanents;Vacataires;Emplois hors plafond;92.3468714973;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2017;IRD;Institut de recherche pour le développement;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois hors plafond;1.8;Institut de recherche pour le développement;05q3vnk25;0755362W;Uan45;Q2910510;180006025
2017;IRD;Institut de recherche pour le développement;Non permanents;Stagiaires rémunérés;Emplois hors plafond;0.0;Institut de recherche pour le développement;05q3vnk25;0755362W;Uan45;Q2910510;180006025
2017;IRSTEA;Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture;Non permanents;CDD handicap;Emplois hors plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01wep6g48;0922644Z;t4SA4;Q3152425;180070013
2017;IRSTEA;Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois hors plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01wep6g48;0922644Z;t4SA4;Q3152425;180070013
2017;IRSTEA;Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois sous plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01wep6g48;0922644Z;t4SA4;Q3152425;180070013
2017;IRSTEA;Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur emploi;Emplois hors plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01wep6g48;0922644Z;t4SA4;Q3152425;180070013
2017;IRSTEA;Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture;Non permanents;Stagiaires rémunérés;Emplois hors plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01wep6g48;0922644Z;t4SA4;Q3152425;180070013
2017;IRSTEA;Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture;Non permanents;Volontaires civils ou militaires;Emplois sous plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01wep6g48;0922644Z;t4SA4;Q3152425;180070013
2018;CNRS;Centre national de la recherche scientifique;Non permanents;Apprentis;Emplois sous plafond;0.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
