"Pays_Code";"Pays";"Mesure";"Unité";"Multiplicateur";"Base";"Date";"Valeur";"Statut"
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1996;35325,60848;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1997;36102,56793;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1998;37568,85322;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1999;40586,42209;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2000;42068,4908;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2001;42686,23987;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2002;43966,46271;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2003;44439,4125;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2004;44019,12516;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2005;45822,31826;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2006;47575,59122;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2007;50251,74211;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2011;50302,51527;"  "
"GBR";"Royaume-Uni";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2013;51138,22204;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2001;49193,17749;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2002;60311,38463;"  "
