"Rentrée";"Personnel";"etablissement_type";"Catégorie";"Corps";"code_corps";"Filière";"Sexe";"Effectif"
2015;"contractuels";"École";"C";"Magasiniers";"MAG";"Bibliothèque";"Femme";2
2015;"contractuels";"École";"C";"Magasiniers";"MAG";"Bibliothèque";"Homme";0
2015;"contractuels";"Grand établissement";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Femme";387
2015;"contractuels";"Grand établissement";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Homme";251
2015;"contractuels";"Grand établissement";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Femme";46
2015;"contractuels";"Grand établissement";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Homme";17
2015;"contractuels";"Grand établissement";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Femme";3
2015;"contractuels";"Grand établissement";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Homme";1
2015;"contractuels";"Grand établissement";"A";"Conseillers techniques de service social des administrations de l'Etat";"CTSSAE";"Sociale et de santé";"Femme";0
2015;"contractuels";"Grand établissement";"A";"Conseillers techniques de service social des administrations de l'Etat";"CTSSAE";"Sociale et de santé";"Homme";1
2015;"contractuels";"Grand établissement";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Femme";3
2015;"contractuels";"Grand établissement";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Homme";0
2015;"contractuels";"Grand établissement";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Femme";3
2015;"contractuels";"Grand établissement";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Homme";0
2015;"contractuels";"Grand établissement";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";468
2015;"contractuels";"Grand établissement";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";346
